ID_CLIENTE,SAFRA_REF,DATA_EMISSAO_DOCUMENTO,DATA_VENCIMENTO,VALOR_A_PAGAR,TAXA
5058298901476893676,2021-07,2021-07-14,2021-08-04,11204.75,4.99
274692171162531764,2021-07,2021-07-08,2021-08-23,60718.5,5.99
274692171162531764,2021-07,2021-07-11,2021-08-25,60718.5,5.99
274692171162531764,2021-07,2021-07-16,2021-08-30,62250.0,5.99
465309249432033993,2021-07,2021-07-05,2021-07-30,26593.95,6.99
465309249432033993,2021-07,2021-07-09,2021-08-03,26012.44,6.99
465309249432033993,2021-07,2021-07-13,2021-08-09,26082.54,6.99
465309249432033993,2021-07,2021-07-13,2021-08-09,26738.12,6.99
5883155883105348987,2021-07,2021-07-03,2021-07-22,20260.27,8.99
5883155883105348987,2021-07,2021-07-08,2021-07-26,19043.82,8.99
4489904752023469353,2021-07,2021-07-07,2021-08-04,64534.64,8.99
3355881107559250653,2021-07,2021-07-01,2021-07-19,21429.1,5.99
3355881107559250653,2021-07,2021-07-05,2021-07-21,21818.55,5.99
3355881107559250653,2021-07,2021-07-06,2021-07-23,28984.0,5.99
3355881107559250653,2021-07,2021-07-07,2021-07-26,42099.5,5.99
3355881107559250653,2021-07,2021-07-07,2021-07-26,56968.0,5.99
3355881107559250653,2021-07,2021-07-11,2021-07-28,21818.6,5.99
3355881107559250653,2021-07,2021-07-14,2021-07-30,21818.55,5.99
6330043096034525408,2021-07,2021-07-01,2021-07-21,41857.0,6.99
6330043096034525408,2021-07,2021-07-10,2021-08-02,42473.43,6.99
6964108750473070287,2021-07,2021-07-02,2021-08-09,54899.0,4.99
6964108750473070287,2021-07,2021-07-02,2021-08-09,250146.0,4.99
6964108750473070287,2021-07,2021-07-04,2021-08-09,91720.2,4.99
6964108750473070287,2021-07,2021-07-05,2021-08-10,54467.8,4.99
6964108750473070287,2021-07,2021-07-06,2021-08-11,54198.3,4.99
6964108750473070287,2021-07,2021-07-07,2021-08-12,63345.0,4.99
6964108750473070287,2021-07,2021-07-08,2021-08-13,63075.5,4.99
6964108750473070287,2021-07,2021-07-08,2021-08-13,54899.0,4.99
6964108750473070287,2021-07,2021-07-09,2021-08-16,92636.5,4.99
6964108750473070287,2021-07,2021-07-11,2021-08-16,54737.3,4.99
6964108750473070287,2021-07,2021-07-12,2021-08-17,91720.2,4.99
6964108750473070287,2021-07,2021-07-13,2021-08-18,126690.0,4.99
6964108750473070287,2021-07,2021-07-14,2021-08-19,250146.0,4.99
6964108750473070287,2021-07,2021-07-15,2021-08-20,63345.0,4.99
6964108750473070287,2021-07,2021-07-15,2021-08-20,62536.5,4.99
6964108750473070287,2021-07,2021-07-16,2021-08-23,250146.0,4.99
4008627434689715639,2021-07,2021-07-05,2021-08-19,8661.16,6.99
4008627434689715639,2021-07,2021-07-12,2021-08-26,5783.05,6.99
4008627434689715639,2021-07,2021-07-15,2021-08-30,40745.48,6.99
5757271354816214865,2021-07,2021-07-01,2021-07-21,51991.36,5.99
5757271354816214865,2021-07,2021-07-01,2021-07-23,7370.72,5.99
5757271354816214865,2021-07,2021-07-01,2021-07-21,69583.24,5.99
5757271354816214865,2021-07,2021-07-01,2021-07-21,54209.72,5.99
5757271354816214865,2021-07,2021-07-01,2021-07-21,56720.29,5.99
5757271354816214865,2021-07,2021-07-06,2021-07-27,20564.84,5.99
5757271354816214865,2021-07,2021-07-07,2021-07-27,37126.09,5.99
5757271354816214865,2021-07,2021-07-08,2021-07-28,61751.28,5.99
5757271354816214865,2021-07,2021-07-08,2021-07-28,24700.51,5.99
5757271354816214865,2021-07,2021-07-08,2021-07-30,33247.91,5.99
5757271354816214865,2021-07,2021-07-11,2021-08-02,49401.03,5.99
5757271354816214865,2021-07,2021-07-11,2021-08-03,7105.32,5.99
5757271354816214865,2021-07,2021-07-12,2021-08-02,44620.64,5.99
5757271354816214865,2021-07,2021-07-13,2021-08-02,24675.41,5.99
5757271354816214865,2021-07,2021-07-14,2021-08-03,24675.41,5.99
8909740532547211288,2021-07,2021-07-01,2021-07-19,25746.95,8.99
8909740532547211288,2021-07,2021-07-05,2021-07-22,25746.95,8.99
8909740532547211288,2021-07,2021-07-05,2021-07-22,21414.66,8.99
4045739494965095560,2021-07,2021-07-02,2021-07-19,26200.15,4.99
4045739494965095560,2021-07,2021-07-04,2021-07-20,25550.15,4.99
4045739494965095560,2021-07,2021-07-05,2021-07-22,79103.24,4.99
6759864637454708017,2021-07,2021-07-05,2021-07-27,21983.18,6.99
6759864637454708017,2021-07,2021-07-06,2021-07-28,27846.41,6.99
6759864637454708017,2021-07,2021-07-07,2021-07-27,25701.04,6.99
6759864637454708017,2021-07,2021-07-09,2021-08-02,27091.9,6.99
6759864637454708017,2021-07,2021-07-12,2021-08-03,21882.58,6.99
6759864637454708017,2021-07,2021-07-16,2021-08-09,27091.9,6.99
6134696632487351445,2021-07,2021-07-03,2021-07-20,70179.05,11.99
6134696632487351445,2021-07,2021-07-10,2021-07-27,42097.1,11.99
6134696632487351445,2021-07,2021-07-16,2021-08-02,71924.2,11.99
5373371196946859811,2021-07,2021-07-13,2021-07-30,27900.53,5.99
3095686599956852697,2021-07,2021-07-08,2021-07-27,101414.0,6.99
3095686599956852697,2021-07,2021-07-13,2021-07-30,90671.8,6.99
3095686599956852697,2021-07,2021-07-14,2021-08-02,70254.1,6.99
1616952665234409442,2021-07,2021-07-01,2021-07-23,47173.99,5.99
1616952665234409442,2021-07,2021-07-09,2021-07-30,46269.66,5.99
1088521227159442264,2021-07,2021-07-02,2021-07-19,25832.5,8.99
1088521227159442264,2021-07,2021-07-08,2021-07-27,50690.0,8.99
1088521227159442264,2021-07,2021-07-13,2021-07-29,25820.0,8.99
8529899700094903171,2021-07,2021-07-01,2021-07-23,84844.0,5.99
8529899700094903171,2021-07,2021-07-04,2021-07-26,255024.0,5.99
8529899700094903171,2021-07,2021-07-05,2021-07-27,63465.7,5.99
8529899700094903171,2021-07,2021-07-07,2021-07-29,63118.5,5.99
8529899700094903171,2021-07,2021-07-08,2021-07-30,85008.0,5.99
8529899700094903171,2021-07,2021-07-13,2021-08-04,127348.0,5.99
8529899700094903171,2021-07,2021-07-15,2021-08-06,127348.0,5.99
499242942549937267,2021-07,2021-07-02,2021-09-15,106982.51,5.99
499242942549937267,2021-07,2021-07-02,2021-09-15,148970.51,5.99
499242942549937267,2021-07,2021-07-05,2021-09-20,236869.7,5.99
499242942549937267,2021-07,2021-07-12,2021-09-27,238619.25,5.99
499242942549937267,2021-07,2021-07-12,2021-09-27,235238.25,5.99
499242942549937267,2021-07,2021-07-14,2021-09-28,106982.51,5.99
499242942549937267,2021-07,2021-07-15,2021-10-04,236407.05,5.99
499242942549937267,2021-07,2021-07-16,2021-10-01,101411.0,5.99
499242942549937267,2021-07,2021-07-16,2021-10-01,121830.0,5.99
5897410907783139228,2021-07,2021-07-05,2021-07-21,46049.8,4.99
5897410907783139228,2021-07,2021-07-06,2021-07-22,28815.0,4.99
5897410907783139228,2021-07,2021-07-13,2021-07-29,56575.0,4.99
5897410907783139228,2021-07,2021-07-15,2021-08-02,56575.1,4.99
2083323809219952960,2021-07,2021-07-01,2021-08-02,181035.0,5.99
2083323809219952960,2021-07,2021-07-04,2021-08-03,231330.9,5.99
2083323809219952960,2021-07,2021-07-05,2021-08-04,231322.5,5.99
2083323809219952960,2021-07,2021-07-06,2021-08-05,231397.9,5.99
2083323809219952960,2021-07,2021-07-08,2021-08-09,89364.0,5.99
2083323809219952960,2021-07,2021-07-11,2021-08-10,181035.0,5.99
2083323809219952960,2021-07,2021-07-14,2021-08-13,92529.0,5.99
2083323809219952960,2021-07,2021-07-15,2021-08-18,181035.0,5.99
2083323809219952960,2021-07,2021-07-15,2021-08-18,231397.9,5.99
2083323809219952960,2021-07,2021-07-16,2021-08-18,231397.9,5.99
1953058402621337677,2021-07,2021-07-01,2021-07-19,26140.0,6.99
1953058402621337677,2021-07,2021-07-01,2021-07-19,130899.0,6.99
1953058402621337677,2021-07,2021-07-05,2021-07-23,218165.0,6.99
1953058402621337677,2021-07,2021-07-13,2021-08-02,64747.5,6.99
3408536439470975134,2021-07,2021-07-04,2021-07-20,137777.15,6.99
3408536439470975134,2021-07,2021-07-06,2021-07-22,138226.55,6.99
3408536439470975134,2021-07,2021-07-07,2021-07-23,137777.15,6.99
3408536439470975134,2021-07,2021-07-15,2021-08-02,137926.95,6.99
5687511145009775604,2021-07,2021-07-02,2021-07-26,27242.85,4.99
5687511145009775604,2021-07,2021-07-06,2021-08-05,945.6,4.99
7485107528960607346,2021-07,2021-07-05,2021-07-21,41248.25,6.99
7485107528960607346,2021-07,2021-07-07,2021-07-26,57780.44,6.99
531805620371082364,2021-07,2021-07-08,2021-07-26,26700.0,11.99
5761480994209806499,2021-07,2021-07-01,2021-07-19,28067.6,5.99
5761480994209806499,2021-07,2021-07-02,2021-07-19,21306.05,5.99
5761480994209806499,2021-07,2021-07-04,2021-07-21,19176.9,5.99
5761480994209806499,2021-07,2021-07-05,2021-07-22,21561.91,5.99
5761480994209806499,2021-07,2021-07-05,2021-07-22,28210.61,5.99
5761480994209806499,2021-07,2021-07-06,2021-07-23,21562.16,5.99
5761480994209806499,2021-07,2021-07-06,2021-07-23,28315.69,5.99
5761480994209806499,2021-07,2021-07-08,2021-07-26,20516.57,5.99
5761480994209806499,2021-07,2021-07-13,2021-07-30,55597.76,5.99
5761480994209806499,2021-07,2021-07-13,2021-07-30,16974.39,5.99
5761480994209806499,2021-07,2021-07-13,2021-07-30,42684.97,5.99
5761480994209806499,2021-07,2021-07-13,2021-07-30,28641.24,5.99
5761480994209806499,2021-07,2021-07-14,2021-08-02,97413.05,5.99
5761480994209806499,2021-07,2021-07-16,2021-08-02,98197.35,5.99
5761480994209806499,2021-07,2021-07-16,2021-08-02,20281.8,5.99
5761480994209806499,2021-07,2021-07-16,2021-08-02,28576.4,5.99
4762256864594914240,2021-07,2021-07-08,2021-07-27,111292.27,4.99
8570963260597299378,2021-07,2021-07-07,2021-07-23,47454.9,6.99
5974858472822751652,2021-07,2021-07-08,2021-07-26,75192.25,4.99
3421433989501830226,2021-07,2021-07-06,2021-07-21,200.0,5.99
4327694790333781288,2021-07,2021-07-08,2021-07-27,189476.7,4.99
4327694790333781288,2021-07,2021-07-16,2021-08-02,150492.75,4.99
8173830874846355280,2021-07,2021-07-01,2021-07-23,55336.49,8.99
8173830874846355280,2021-07,2021-07-01,2021-07-23,55341.52,8.99
8173830874846355280,2021-07,2021-07-01,2021-07-23,43482.33,8.99
8173830874846355280,2021-07,2021-07-02,2021-07-26,42478.87,8.99
8173830874846355280,2021-07,2021-07-02,2021-07-26,42275.16,8.99
8173830874846355280,2021-07,2021-07-04,2021-07-26,43482.33,8.99
8173830874846355280,2021-07,2021-07-05,2021-07-27,55532.66,8.99
8173830874846355280,2021-07,2021-07-09,2021-08-02,33983.1,8.99
8173830874846355280,2021-07,2021-07-10,2021-08-03,27989.51,8.99
8173830874846355280,2021-07,2021-07-16,2021-08-09,55229.07,8.99
2347028805684088098,2021-07,2021-07-09,2021-07-29,88378.76,4.99
3632378524835692731,2021-07,2021-07-09,2021-07-26,25670.0,4.99
3632378524835692731,2021-07,2021-07-13,2021-07-30,25162.96,4.99
3632378524835692731,2021-07,2021-07-16,2021-08-02,25620.0,4.99
2033394215069562776,2021-07,2021-07-01,2021-07-19,27056.35,11.99
2033394215069562776,2021-07,2021-07-02,2021-07-19,27056.35,11.99
2033394215069562776,2021-07,2021-07-09,2021-07-26,27151.35,11.99
2033394215069562776,2021-07,2021-07-12,2021-07-29,27131.35,11.99
3285246914299291124,2021-07,2021-07-01,2021-07-26,84515.07,5.99
3285246914299291124,2021-07,2021-07-01,2021-07-21,24841.47,5.99
3285246914299291124,2021-07,2021-07-02,2021-07-27,69643.15,5.99
3285246914299291124,2021-07,2021-07-07,2021-08-02,69642.45,5.99
2929243640075785940,2021-07,2021-07-02,2021-07-20,88847.3,8.99
2929243640075785940,2021-07,2021-07-02,2021-07-19,63566.9,8.99
2929243640075785940,2021-07,2021-07-06,2021-07-22,44523.65,8.99
2929243640075785940,2021-07,2021-07-07,2021-07-23,67093.45,8.99
2929243640075785940,2021-07,2021-07-07,2021-07-26,107740.55,8.99
