ID_CLIENTE,DATA_CADASTRO,DDD,FLAG_PF,SEGMENTO_INDUSTRIAL,DOMINIO_EMAIL,PORTE,CEP_2_DIG
1661240395903230676,2013-08-22,99,,Serviços,YAHOO,PEQUENO,65
8274986328479596038,2017-01-25,31,,Comércio,YAHOO,MEDIO,77
345447888460137901,2000-08-15,75,,Serviços,HOTMAIL,PEQUENO,48
1003144834589372198,2017-08-06,49,,Serviços,OUTLOOK,PEQUENO,89
324916756972236008,2011-02-14,88,,Serviços,GMAIL,GRANDE,62
4679462479444735708,2000-08-15,18,,Indústria,HOTMAIL,GRANDE,19
1276604410881911401,2000-08-15,67,,Indústria,YAHOO,PEQUENO,38
8123515208041701633,2011-02-14,21,,Serviços,GMAIL,PEQUENO,26
4530631557358349711,2000-08-15,11,,Serviços,HOTMAIL,PEQUENO,55
3668905663669864663,2011-02-14,44,,Comércio,BOL,GRANDE,87
7041489327620930099,2018-03-27,,,Serviços,HOTMAIL,GRANDE,37
3118152790263512426,2000-08-15,21,,,OUTLOOK,MEDIO,22
1366416810235233769,2000-08-15,19,,Comércio,YAHOO,GRANDE,13
4395946187332973749,2000-08-15,14,,Serviços,GMAIL,MEDIO,18
1299146298565441811,2000-08-15,21,,Serviços,HOTMAIL,MEDIO,21
4052557282157719526,2009-08-30,19,,Comércio,GMAIL,MEDIO,13
6795467882769787169,2014-06-23,11,,Serviços,HOTMAIL,PEQUENO,98
2550506309527280168,2000-08-15,16,,Comércio,GMAIL,MEDIO,14
8724731934863284019,2000-08-15,85,,Serviços,HOTMAIL,PEQUENO,60
314309872114206760,2011-02-14,41,,,YAHOO,GRANDE,82
2250817603281429928,2001-05-31,51,,Comércio,YAHOO,GRANDE,92
5301988619224057921,2016-02-24,67,,Indústria,GMAIL,,79
3248432590399829766,2000-08-15,12,,Comércio,YAHOO,MEDIO,12
4095739077267179172,2011-02-14,21,,Comércio,YAHOO,PEQUENO,27
2092588065958607289,2006-07-18,62,,Comércio,YAHOO,GRANDE,76
1078687383992817574,2000-08-15,43,,Indústria,OUTLOOK,GRANDE,67
4717593620120611957,2016-08-14,,,Comércio,YAHOO,GRANDE,72
7970976988071755401,2006-09-11,91,,Comércio,YAHOO,GRANDE,68
1683619849073499603,2000-08-15,19,,Comércio,AOL,GRANDE,13
8784237149961904,2011-02-14,11,,Comércio,HOTMAIL,PEQUENO,27
6926309382371178621,2012-05-29,12,,Serviços,HOTMAIL,GRANDE,11
5753677550753111444,2014-03-02,42,,Serviços,,GRANDE,84
4524147234488547993,2017-03-09,61,,Comércio,HOTMAIL,GRANDE,70
4347826483121154490,2000-08-15,33,,Indústria,YAHOO,MEDIO,38
6100972975033180377,2015-11-23,41,,Comércio,YAHOO,GRANDE,83
4334472256949955221,2012-03-11,48,,Serviços,YAHOO,GRANDE,88
2619109825960703851,2003-06-03,19,,Serviços,HOTMAIL,GRANDE,13
2397171153213063761,2016-11-29,62,,Indústria,YAHOO,MEDIO,75
683445437387317282,2011-02-14,33,,Indústria,YAHOO,GRANDE,36
192916471960784723,2017-08-09,,,Comércio,,PEQUENO,27
2634859679238614382,2000-08-15,11,,Comércio,YAHOO,GRANDE,22
940214356651040716,2013-07-29,75,,Indústria,GMAIL,GRANDE,45
1192891347324061812,2000-08-15,11,,Serviços,HOTMAIL,MEDIO,37
8901696535927078963,2011-02-14,71,,Serviços,GMAIL,GRANDE,44
3022528659032597047,2011-02-14,18,,Serviços,AOL,MEDIO,16
